brand,model,price,link,stock_status,vendor
dDIAMONDBACK,DB380 380ACP PSTL BL,$200.00,https://www.orionfflsales.com/product/5909/ddiamondback-db380-380acp-pstl-bl,OUT OF STOCK,Orion
nDIAMONDBK,DB380 380ACP PSTL BL N/B,$200.00,https://www.orionfflsales.com/product/5908/ndiamondbk-db380-380acp-pstl-bl-nb,OUT OF STOCK,Orion
dDIAMONDBK,DB380 380ACP PST MINT N/B,$206.00,https://www.orionfflsales.com/product/5907/ddiamondbk-db380-380acp-pst-mint-nb,OUT OF STOCK,Orion
dDIAMONDBK,DB380 380ACP PST MID/BRZ,$200.00,https://www.orionfflsales.com/product/5906/ddiamondbk-db380-380acp-pst-midbrz,OUT OF STOCK,Orion
dDIAMONDBACK,DB380 380ACP PSTL PINK,$200.00,https://www.orionfflsales.com/product/5905/ddiamondback-db380-380acp-pstl-pink,OUT OF STOCK,Orion
dDIAMONDBACK,DB380 380ACP PSTL FDE,$200.00,https://www.orionfflsales.com/product/5904/ddiamondback-db380-380acp-pstl-fde,OUT OF STOCK,Orion
dDIAMONDBK,"DB15 PISTL 5.56 7"" MID BZ",$599.00,https://www.orionfflsales.com/product/5899/ddiamondbk-db15-pistl-556-7-mid-bz,OUT OF STOCK,Orion
dDIAMONDBK,"DB15 PISTOL 5.56 7"" FDE",$599.00,https://www.orionfflsales.com/product/5898/ddiamondbk-db15-pistol-556-7-fde,OUT OF STOCK,Orion
dDIAMONDBACK,DB15 223/5.56 PSTL BB,$649.00,https://www.orionfflsales.com/product/5897/ddiamondback-db15-223556-pstl-bb,OUT OF STOCK,Orion
dDIAMONDBK,"DB15 PISTOL 5.56 7"" BLACK",$599.00,https://www.orionfflsales.com/product/5896/ddiamondbk-db15-pistol-556-7-black,OUT OF STOCK,Orion
dDIAMONDBK,"DB15 PISTL 5.56 10"" MD BZ",$599.00,https://www.orionfflsales.com/product/5895/ddiamondbk-db15-pistl-556-10-md-bz,OUT OF STOCK,Orion
dDIAMONDBK,"DB15 PISTL 5.56 10"" FDE",$599.00,https://www.orionfflsales.com/product/5894/ddiamondbk-db15-pistl-556-10-fde,OUT OF STOCK,Orion
dDIAMONDBK,"DB15 PISTL 5.56 10"" BLACK",$524.00,https://www.orionfflsales.com/product/5893/ddiamondbk-db15-pistl-556-10-black,OUT OF STOCK,Orion
ZASTAVA,USA ZPAP85 AK PISTOL 5.56,$1140.00,https://www.orionfflsales.com/product/5872/zastava-usa-zpap85-ak-pistol-556,OUT OF STOCK,Orion
ZASTAVA,USA ZPAP85 AK PISTOL 5.56,$929.00,https://www.orionfflsales.com/product/5871/zastava-usa-zpap85-ak-pistol-556,OUT OF STOCK,Orion
KRISS,VECTOR SDP G2 10MM PSTL BLK,$1135.00,https://www.orionfflsales.com/product/5862/kriss-vector-sdp-g2-10mm-pstl-blk,1,Orion
TRISTAR,T100 S/A BLACK CER 9MM PISTOL - 85109,$347.95,https://www.orionfflsales.com/product/5741/tristar-t100-s-a-black-cer-9mm-pistol-85109,OUT OF STOCK,Orion
M605,"PROTECTOR .357MAG BK/SS 2""",$329.00,https://www.orionfflsales.com/product/5657/m605-protector-357mag-bk-ss-2,OUT OF STOCK,Orion
M605,".357MAG BK 2"" 5-RDS",$305.00,https://www.orionfflsales.com/product/5656/m605-357mag-bk-2-5-rds,OUT OF STOCK,Orion
G2C,"40S&W BK/BK 3.2"" 2X10",$219.00,https://www.orionfflsales.com/product/5652/g2c-40sw-bkbk-32-2x10,OUT OF STOCK,Orion
dP365,"9MM 3.7"" X-SERIES BLK STRIKER",$510.00,https://www.orionfflsales.com/product/5651/dp365-9mm-37-x-series-blk-striker,OUT OF STOCK,Orion
dSIG,P365 9MM PSTL NITRON SS SGLT,$448.00,https://www.orionfflsales.com/product/5650/dsig-p365-9mm-pstl-nitron-ss-sglt,OUT OF STOCK,Orion
FAITH,B380 380ACP PSTL BLK 2-12RD,$349.00,https://www.orionfflsales.com/product/5647/faith-b380-380acp-pstl-blk-2-12rd,10+,Orion
STAINLESS,LW 1911 9MM W/RED DOT,$862.00,https://www.orionfflsales.com/product/5641/stainless-lw-1911-9mm-wred-dot,OUT OF STOCK,Orion
MICRO,DESERT NIGHT(NS).380ACP,$597.00,https://www.orionfflsales.com/product/5640/micro-desert-nightns380acp,10,Orion
KELTEC,CP33 22LR PSTL TAN,$545.00,https://www.orionfflsales.com/product/5639/keltec-cp33-22lr-pstl-tan,OUT OF STOCK,Orion
CZ,P-10 CMPCT 9MM PSTL BLK 15RD,$480.00,https://www.orionfflsales.com/product/5631/cz-p-10-cmpct-9mm-pstl-blk-15rd,OUT OF STOCK,Orion
ATI,OMNI HYBRID MAXX 5.56 PSTL BLK,$419.95,https://www.orionfflsales.com/product/5629/ati-omni-hybrid-maxx-556-pstl-blk,OUT OF STOCK,Orion
HERITAGE,ROUGH RIDER 22LR REV BL,$120.00,https://www.orionfflsales.com/product/5627/heritage-rough-rider-22lr-rev-bl,OUT OF STOCK,Orion
CHARTER,"BD OD 44SPL 2.5"" REV SS",$354.00,https://www.orionfflsales.com/product/5621/charter-bd-od-44spl-2-5-rev-ss,7,Orion
dCHARTER,MAG PUG STS 41 MAG 2.5 REV,$335.50,https://www.orionfflsales.com/product/5620/dcharter-mag-pug-sts-41-mag-25-rev,OUT OF STOCK,Orion
CHARTER,"UC 38SPL 2"" REV STS",$451.00,https://www.orionfflsales.com/product/5617/charter-uc-38spl-2-rev-sts,9,Orion
CHARTER,"OD CMPCT 38SPL 2"" REV BL/SS",$319.00,https://www.orionfflsales.com/product/5611/charter-od-cmpct-38spl-2-rev-bl-ss,6,Orion
