brand,model,price,link,stock_status,vendor
Anderson,AM-15 Forged Complete AR Lower - Black | Pistol Buffer Tube,$159.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-complete-ar-lower-black-pistol-buffer-tube,In Stock,Second Amendment Wholesale
Anderson,AM-15 Forged Stripped AR15 Lower Receiver - Black | Trump Punisher Logo | Retail Packaging,$49.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-trump-punisher-logo-retail-packaging,In Stock,Second Amendment Wholesale
Anderson,AM-15 Forged Stripped AR15 Lower Receiver - Black | Don't Tread On Me Logo | Retail Packaging,$49.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-don-t-tread-on-me-logo-retail-packaging,In Stock,Second Amendment Wholesale
Battle,"Arms Development Forged WORKHORSE Patrol Carbine AR Rifle - Combat Grey | 5.56NATO | 16"" Barrel | 15"" M-LOK Free-Float Rail | Ambi Charging Handle | B5 Stock | Nickel Teflon Trigger",$999.99,https://www.2ndamendmentwholesale.com/battle-arms-development-forged-workhorse-patrol-carbine-ar-rifle-combat-grey-5-56nato-16-barrel-15-m-lok-free-float-rail-ambi-charging-handle-b5-stock-nickel-teflon-trigger,In Stock,Second Amendment Wholesale
ATI,MILSPORT Aluminum MULTI-CAL Lower Receiver - Black | Stripped,$39.95,https://www.2ndamendmentwholesale.com/ati-milsport-aluminum-multi-cal-lower-receiver-black-stripped,In Stock,Second Amendment Wholesale
IWI,"MASADA Optics Ready Pistol - Black | 9mm | 4.1"" Barrel | 17rd",$384.00,https://www.2ndamendmentwholesale.com/iwi-masada-optics-ready-pistol-black-9mm-4-1-barrel-17rd,In Stock,Second Amendment Wholesale
Diamondback,"Black Gold DB15 AR Rifle - Black | 5.56NATO | 16"" Barrel | 15"" M-LOK V Rail w/ Texture Pads | Magpul K2 Grip | Magpul CTR Stock | DB Flash Hider",$704.00,https://www.2ndamendmentwholesale.com/diamondback-black-gold-db15-ar-rifle-black-5-56nato-16-barrel-15-m-lok-v-rail-w-texture-pads-magpul-k2-grip-magpul-ctr-stock-db-flash-hider,In Stock,Second Amendment Wholesale
Anderson,"AM-15 Forged AR15 Pistol - Black | 5.56NATO | 10.5"" Barrel",$629.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-ar15-pistol-black-5-56nato-10-5-barrel,In Stock,Second Amendment Wholesale
Zastava,"ZPAP92 AK-47 Pistol BULGED TRUNNION 1.5MM RECEIVER - Stained Wood Handguard | 7.62x39 | 10"" Chrome Lined Barrel",$752.99,https://www.2ndamendmentwholesale.com/zastava-zpap92-ak-47-pistol-bulged-trunnion-1-5mm-receiver-stained-wood-handguard-7-62x39-10-chrome-lined-barrel,In Stock,Second Amendment Wholesale
CZ,"P-10 S Pistol - Black | 9mm | 3.5"" Barrel | 12rd | Luminescent Sight | Czech-made",$499.99,https://www.2ndamendmentwholesale.com/cz-p-10-s-pistol-black-9mm-3-5-barrel-12rd-front-luminescent-sight-czech-made,In Stock,Second Amendment Wholesale
