firearm_type,price,link,stock_status
Beretta 92FSR Gray 22LR 1-15rd,Our Price: $345.00,https://www.mgewholesale.com/ecommerce/Beretta-92FSR-Gray-22LR-1-15rd.cfm?item_id=29913&parent=855&navPanel=0,Qty Available: 17
Beretta 92FS M9A1 22lr,Our Price: $345.00,https://www.mgewholesale.com/ecommerce/Beretta-92FS-M9A1-22lr.cfm?item_id=36427&parent=855&navPanel=0,Qty Available: 34
Beretta 92FS M9A1 22lr,Our Price: $345.00,https://www.mgewholesale.com/ecommerce/Beretta-92FS-M9A1-22lr.cfm?item_id=27050&parent=855&navPanel=0,Qty Available: 1
BERETTA M9-22 22LR 1-15RD,Our Price: $335.00,https://www.mgewholesale.com/ecommerce/BERETTA-M9-22-22LR-1-15RD.cfm?item_id=26600&parent=855&navPanel=0,Qty Available: 2
BERETTA 92FS 9MM BLUE,Our Price: $560.00,https://www.mgewholesale.com/ecommerce/BERETTA-92FS-9MM-BLUE.cfm?item_id=36990&parent=855&navPanel=0,Qty Available: 9
BERETTA 92FS 9MM BLUE,Our Price: $579.00,https://www.mgewholesale.com/ecommerce/BERETTA-92FS-9MM-BLUE.cfm?item_id=33236&parent=855&navPanel=0,Qty Available: 50+
BERETTA 92X GR FULL 2-15RD,Our Price: $600.00,https://www.mgewholesale.com/ecommerce/BERETTA-92X-GR-FULL-2-15RD.cfm?item_id=35921&parent=855&navPanel=0,Qty Available: 15
BERETTA 92X RDO GR FULL 2-18RD,Our Price: $600.00,https://www.mgewholesale.com/ecommerce/BERETTA-92X-RDO-GR-FULL-2-18RD.cfm?item_id=35923&parent=855&navPanel=0,Qty Available: 12
BERETTA 92X FR CENT 2-15RD,Our Price: $600.00,https://www.mgewholesale.com/ecommerce/BERETTA-92X-FR-CENT-2-15RD.cfm?item_id=37256&parent=855&navPanel=0,Qty Available: 18
Beretta 92X GR CENT 2-15RD,Our Price: $600.00,https://www.mgewholesale.com/ecommerce/Beretta-92X-GR-CENT-2-15RD.cfm?item_id=36016&parent=855&navPanel=0,Qty Available: 2
BERETTA 92X FR CENT 2-10RD,Our Price: $600.00,https://www.mgewholesale.com/ecommerce/BERETTA-92X-FR-CENT-2-10RD.cfm?item_id=36017&parent=855&navPanel=0,Qty Available: 6
BERETTA 96A1 F 40SW RAIL,Our Price: $610.00,https://www.mgewholesale.com/ecommerce/BERETTA-96A1-F-40SW-RAIL.cfm?item_id=14537&parent=855&navPanel=0,Qty Available: 44
BERETTA APX 9MM BLACK 2-10RD,Our Price: $350.00,https://www.mgewholesale.com/ecommerce/BERETTA-APX-9MM-BLACK-2-10RD.cfm?item_id=33754&parent=855&navPanel=0,Qty Available: 22
BERETTA APX A1 9MM BLACK 2-17R,Our Price: $395.00,https://www.mgewholesale.com/ecommerce/BERETTA-APX-A1-9MM-BLACK-2-17R.cfm?item_id=37227&parent=855&navPanel=0,Qty Available: 50+
Beretta APX-A1 Carry 9mm,Our Price: $340.00,https://www.mgewholesale.com/ecommerce/Beretta-APX-A1-Carry-9mm.cfm?item_id=35926&parent=855&navPanel=0,Qty Available: 47
Beretta APX-A1 Carry 9mm FDE,Our Price: $340.00,https://www.mgewholesale.com/ecommerce/Beretta-APX-A1-Carry-9mm-FDE.cfm?item_id=35927&parent=855&navPanel=0,Qty Available: 22
Beretta APX-A1 Carry 9mm WG,Our Price: $340.00,https://www.mgewholesale.com/ecommerce/Beretta-APX-A1-Carry-9mm-WG.cfm?item_id=35928&parent=855&navPanel=0,Qty Available: 20
Beretta APX-A1 Carry 9mm ODG,Our Price: $340.00,https://www.mgewholesale.com/ecommerce/Beretta-APX-A1-Carry-9mm-ODG.cfm?item_id=35929&parent=855&navPanel=0,Qty Available: 11
"Centurion APX 9mm 3.7"" 10rd",Our Price: $350.00,https://www.mgewholesale.com/ecommerce/Centurion-APX-9mm-3.7-10rd.cfm?item_id=34484&parent=855&navPanel=0,Qty Available: 5
Mauser M20 22LR,Our Price: $229.44,https://www.mgewholesale.com/ecommerce/Mauser-M20-22LR.cfm?item_id=36670&parent=855&navPanel=0,Qty Available: 8
Mauser M20 22LR,Our Price: $240.96,https://www.mgewholesale.com/ecommerce/Mauser-M20-22LR.cfm?item_id=36671&parent=855&navPanel=0,Qty Available: 8
Mauser 1911 22LR,Our Price: $303.11,https://www.mgewholesale.com/ecommerce/Mauser-1911-22LR.cfm?item_id=36691&parent=855&navPanel=0,Qty Available: 11
ISSC Raptor SD 22LR,Our Price: $285.35,https://www.mgewholesale.com/ecommerce/ISSC-Raptor-SD-22LR.cfm?item_id=36704&parent=855&navPanel=0,Qty Available: 4
Brigade Forged AR-15 5.56,Our Price: $699.99,https://www.mgewholesale.com/ecommerce/Brigade-Forged-AR-15-5.56.cfm?item_id=36083&parent=855&navPanel=0,Qty Available: 1
"Brigade BM9 forged 9MM AR 9""",Our Price: $649.99,https://www.mgewholesale.com/ecommerce/Brigade-BM9-forged-9MM-AR-9-.cfm?item_id=33970&parent=855&navPanel=0,Qty Available: 2
"Brigade BM9 forged 9MM AR 9""",Our Price: $649.99,https://www.mgewholesale.com/ecommerce/Brigade-BM9-forged-9MM-AR-9-.cfm?item_id=34013&parent=855&navPanel=0,Qty Available: 2
"Brigade BM9 forged 9MM AR 9""",Our Price: $649.99,https://www.mgewholesale.com/ecommerce/Brigade-BM9-forged-9MM-AR-9-.cfm?item_id=33642&parent=855&navPanel=0,Qty Available: 3
Bearman Derringer-Big Bore.380,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore.380.cfm?item_id=35850&parent=855&navPanel=0,Qty Available: 8
Bearman Derringer-Big Bore.380,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore.380.cfm?item_id=34634&parent=855&navPanel=0,Qty Available: 20
Bearman Derringer-Big Bore.380,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore.380.cfm?item_id=34635&parent=855&navPanel=0,Qty Available: 15
Bearman Derringer-Big Bore .38,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore-.38.cfm?item_id=34636&parent=855&navPanel=0,Qty Available: 5
Bearman Derringer-Big Bore .38,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore-.38.cfm?item_id=35882&parent=855&navPanel=0,Qty Available: 3
Bearman Derringer-Big Bore .38,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore-.38.cfm?item_id=34641&parent=855&navPanel=0,Qty Available: 8
Bearman Derringer-Big Bore .38,Our Price: $129.99,https://www.mgewholesale.com/ecommerce/Bearman-Derringer-Big-Bore-.38.cfm?item_id=35893&parent=855&navPanel=0,Qty Available: 7
Century DRACO 7.62X39,Our Price: $799.99,https://www.mgewholesale.com/ecommerce/Century-DRACO-7.62X39.cfm?item_id=15240&parent=855&navPanel=0,Qty Available: 50+
Century MINI DRACO 7.62X39,Our Price: $849.99,https://www.mgewholesale.com/ecommerce/Century-MINI-DRACO-7.62X39.cfm?item_id=28730&parent=855&navPanel=0,Qty Available: 31
Century DRACO NAK9 9mm,Our Price: $549.99,https://www.mgewholesale.com/ecommerce/Century-DRACO-NAK9-9mm.cfm?item_id=28093&parent=855&navPanel=0,Qty Available: 24
