firearm_type,price,link,stock_status
"CZ Scorpion EVO 3 S1 Pistol - FDE | 9mm | 7.75"" Barrel | 20rd",$999.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-fde-9mm-7-75-barrel-20rd,Add To Cart
"Anderson AM-15 Forged AR15 Pistol - Black | 5.56NATO | 10.5"" Barrel",$629.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-ar15-pistol-black-5-56nato-10-5-barrel,Add To Cart
"Diamondback Black Gold DB15 AR Rifle - Black | 5.56NATO | 16"" Barrel | 15"" M-LOK V Rail w/ Texture Pads | Magpul K2 Grip | Magpul CTR Stock | DB Flash Hider",$704.00,https://www.2ndamendmentwholesale.com/diamondback-black-gold-db15-ar-rifle-black-5-56nato-16-barrel-15-m-lok-v-rail-w-texture-pads-magpul-k2-grip-magpul-ctr-stock-db-flash-hider,Add To Cart
"CZ P-10 S Pistol - Black | 9mm | 3.5"" Barrel | 12rd | Luminescent Sight | Czech-made",$499.99,https://www.2ndamendmentwholesale.com/cz-p-10-s-pistol-black-9mm-3-5-barrel-12rd-front-luminescent-sight-czech-made,Add To Cart
"Franklin Armory BFSIII Equipped M4 Rifle - Black | 5.56NATO | 16"" Barrel | Installed BSFIII Trigger",$799.99,https://www.2ndamendmentwholesale.com/franklin-armory-bfsiii-equipped-m4-rifle-black-5-56nato-16-barrel-installed-bsfiii-trigger,Add To Cart
"Zastava ZPAP92 AK-47 Pistol BULGED TRUNNION 1.5MM RECEIVER - Stained Wood Handguard | 7.62x39 | 10"" Chrome Lined Barrel",$752.99,https://www.2ndamendmentwholesale.com/zastava-zpap92-ak-47-pistol-bulged-trunnion-1-5mm-receiver-stained-wood-handguard-7-62x39-10-chrome-lined-barrel,Add To Cart
"Zastava ZPAP85 Alpha AK-47 Pistol BULGED TRUNNION 1.5MM RECEIVER - Stained Wood Handguard | 5.56NATO | 10"" Barrel | Booster Brake | Rear Trunnion Picatinny rail",$874.99,https://www.2ndamendmentwholesale.com/zastava-zpap85-alpha-ak-47-pistol-bulged-trunnion-1-5-mm-receiver-stained-wood-handguard-5-56nato-10-barrel-booster-brake-rear-trunnion-picatinny-rail,Add To Cart
"Battle Arms Development Forged WORKHORSE AR15 Pistol - Black | 5.56NATO | 10.5"" Barrel | 9.5"" M-LOK Free-Float Rail | Mil-Spec Charging Handle | Nickel Teflon Trigger | Gear Head MOD2 Pistol Brace",$999.99,https://www.2ndamendmentwholesale.com/battle-arms-development-workhorse-pistol-black,Add To Cart
"Franklin Armory CA7 CADOJ APPROVED AR PISTOL - Black | 5.56NATO | 7.5"" Barrel | Detachable 10rd Mag",$749.99,https://www.2ndamendmentwholesale.com/franklin-armory-ca7tm-cadoj-approved-ar-pistol-black-5-56nato-7-5-barrel-detachable-10rd-mag,Add To Cart
"Century Arms VSKA Draco AK-47 Pistol - Maple | 7.62x39 | 10.5"" Barrel | Loudmouth Break | U.S Palm Grip & Mag",$699.99,https://www.2ndamendmentwholesale.com/century-arms-vska-ak-47-pistol-maple-7-62x39-10-5-barrel-loudmouth-break-u-s-palm-grip-mag,Add To Cart
"Black Aces Tactical Pro Series M Pump Shotgun - Black | 12ga | 18.5"" Barrel | Walnut Furniture",$249.99,https://www.2ndamendmentwholesale.com/black-aces-tactical-pro-series-m-pump-shotgun-black-12ga-18-5-barrel-walnut-furniture,Add To Cart
"Black Aces Tactical Pro Series M Pump Shotgun - Black | 12ga | 18.5"" Barrel | Synthetic Furniture",$249.99,https://www.2ndamendmentwholesale.com/black-aces-tactical-pro-series-m-pump-shotgun-black-12ga-18-5-barrel-synthetic-furniture,Add To Cart
"FACTORY BLEM - KE Arms KE-15 Forged Complete AR15 Lower - Black | M4 Buttstock | BLEMISHED, sold As-Is NO RETURNS",$169.99,https://www.2ndamendmentwholesale.com/factory-blem-ke-arms-ke-15-forged-complete-ar15-lower-black-m4-buttstock-blemished-sold-as-is-no-returns,Add To Cart
"Kalashnikov USA KP-9 AK Pistol - Black | 9mm | 9.25"" Barrel",$827.88,https://www.2ndamendmentwholesale.com/kalashnikov-usa-kp-9-ak-pistol-black-9mm-9-25-barrel,Add To Cart
"Brigade MFG BM-9 Forged Aluminum AR Pistol - Black | 9mm | 9"" Barrel | 8"" U-LOC Rail | Faux Can | SBA3 Arm Brace",$669.99,https://www.2ndamendmentwholesale.com/brigade-mfg-bm-9-forged-aluminum-ar-pistol-black-9mm-9-barrel-8-u-loc-rail-faux-can-sba3-arm-brace,Add To Cart
Anderson AM-15 Forged Complete AR Lower - Black | M4 Buttstock | Closed Trigger Guard,$149.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-complete-ar-lower-black-m4-buttstock-closed-trigger-guard,Add To Cart
"Taurus G3C Compact Pistol - Black | 9mm | 3.2"" Barrel | 12rd",$234.99,https://www.2ndamendmentwholesale.com/taurus-g3c-compact-pistol-black-3-2-barrel-12rd,Add To Cart
"Black Aces Tactical Pro Series M Semi-Auto Shotgun - Black | 12ga | 18.5"" Barrel | Walnut Furniture",$299.99,https://www.2ndamendmentwholesale.com/black-aces-tactical-pro-series-m-semi-auto-shotgun-black-12ga-18-5-barrel-walnut-furniture,Add To Cart
"ATI Bulldog Bullpup Semi-Auto Shotgun - Black | 12ga | 18.5"" Barrel | Ported Barrel Shroud",$349.99,https://www.2ndamendmentwholesale.com/ati-bulldog-bullpup-semi-auto-shotgun-black-12ga-18-5-barrel-ported-barrel-shroud,Add To Cart
KE Arms KE-15 Billet Complete AR15 Lower Receiver - Black | M4 Rifle Buttstock,$199.99,https://www.2ndamendmentwholesale.com/ke-arms-ke-15-billet-complete-ar15-lower-receiver-black-m4-rifle-buttstock,Add To Cart
"ATI OMNI HYBRID MAXX P3P AR Rifle - FDE | 5.56 NATO | 16"" barrel | 10"" M-LOK",$399.99,https://www.2ndamendmentwholesale.com/ati-omni-hybrid-maxx-p3p-ar-rifle-fde-5-56-nato-16-barrel-10-m-lok,Add To Cart
"CZ 612 Magnum Waterfowl Pump Shotgun - Camouflage | 12ga | 28"" Barrel | 3.5"" Chamber",$379.99,https://www.2ndamendmentwholesale.com/cz-612-magnum-waterfowl-pump-shotgun-camouflage-12ga-28-barrel-3-5-chamber,Add To Cart
"LWRC DI Direct Impingement M-LOK Rifle - Black | 5.56NATO | 16.1"" Barrel","$1,299.99",https://www.2ndamendmentwholesale.com/lwrc-di-direct-impingement-m-lok-rifle-black-5-56nato-16-1-barrel,Add To Cart
"LWRC SMG-45 Pistol - Black | .45ACP | 8.5"" Threaded Barrel | SBT Brace","$2,349.99",https://www.2ndamendmentwholesale.com/lwrc-smg-45-pistol-black-45acp-8-5-threaded-barrel-sbt-brace,Add To Cart
"M+M Inc M10X-Z Semi-Auto Rifle - Black | 7.62x39 | 16.5"" Barrel | Ambidextrous Controls | Magpul Zhukov Side-Folding Stock","$1,246.66",https://www.2ndamendmentwholesale.com/m-m-inc-m10x-ak-47-rifle-black-7-62x39-16-5-barrel-left-side-charging-handle-magpul-zhukov-stock,Add To Cart
"CZ Scorpion EVO 3 S1 Pistol - Battleship Grey | 9mm | 7.72"" Barrel | 20rd",$999.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-battleship-grey-9mm-7-72-barrel-20rd,Add To Cart
"Brigade MFG BM-9 Forged Aluminum AR Pistol - Grey | 9mm | 9"" Barrel | 8"" U-LOC Rail | Faux Can | SBA3 Arm Brace",$669.99,https://www.2ndamendmentwholesale.com/brigade-mfg-bm-9-forged-aluminum-ar-pistol-grey-9mm-9-barrel-8-u-loc-rail-faux-can-sba3-arm-brace,Add To Cart
ATI MILSPORT Aluminum MULTI-CAL Lower Receiver - Black | Metal Parts Kit | Collapsible Stock,$149.99,https://www.2ndamendmentwholesale.com/ati-milsport-aluminum-multi-cal-lower-receiver-black-metal-parts-kit-collapsible-stock,Add To Cart
"CZ Scorpion 3+ Micro Pistol - Black | 9mm | 4.2"" Barrel | 20rd","$1,049.99",https://www.2ndamendmentwholesale.com/cz-scorpion-3-micro-pistol-black-9mm-4-2-barrel-20rd,Add To Cart
"Battle Arms Development Billet AUTHORITY Elite AR Rifle - Combat Grey | 5.56 NATO | 16"" Barrel | 15"" M-LOK Free-Float Rail | Ambi Charging Handle & Ambi Safety | B5 Stock | Nickel Teflon Trigger",$999.99,https://www.2ndamendmentwholesale.com/battle-arms-development-billet-authority-elite-ar-rifle-combat-grey-223-wylde-16-barrel-15-m-lok-free-float-rail-ambi-charging-handle-ambi-safety-b5-stock-nickel-teflon-trigger,Add To Cart
"Kalashnikov USA KOMRAD Semi-Auto Firearm - Black | 12ga | 12.5"" Barrel | Vertical Forward Grip | SBA3 Brace","$1,079.99",https://www.2ndamendmentwholesale.com/kalashnikov-usa-komrad-semi-auto-firearm-black-12ga-12-5-barrel-vertical-forward-grip-sba3-brace,Add To Cart
